user_id,login,logout,user,email,phone,year_of_birth,phone_type,interest,location
38,05:13,10:52,Avrialy Khansa,Avrialy@gmail.com,+6284452313046,1970,itel,Social Media,Bojongloa Kidul
39,02:47,04:24,windi Suci,windi@yahoo.com,+6286545981390,1963,Sharp,Beauty,Astana Anyar
40,18:04,23:41,Rida Rivani,Rida@gmail.com,+6285346226155,1965,OPPO,Career Development,Astana Anyar
41,07:56,08:35,Muni Peter,Muni@gmail.com,+6285030625416,1997,Apple,Sports,Kiaracondong
42,19:05,23:17,Yolanda Dita,Yolanda@yahoo.com,+6285171723440,1998,itel,Travel,Sukasari
43,22:04,01:31,Rizky andriyani,Rizky@gmail.com,+6287801636891,1997,Huawei,Movies & Streaming,Regol
44,23:50,02:08,Ckasinta Regina,Ckasinta@outlook.com,+6288572638950,1993,TECNO,Parenting,Bandung Wetan
45,23:35,01:12,Agus Rida,Agus@hotmail.com,+6282653663309,1998,Huawei,Career Development,Cicendo
46,17:25,21:00,Susanti Dinda,Susanti@yahoo.com,+6282696166510,1983,Infinix,Fashion,Cibeunying Kaler
47,04:39,07:12,indah Selisa,indah@yahoo.com,+6281500214455,1979,Infinix,Movies & Streaming,Lengkong
48,18:50,21:16,lusiana ayudhia,lusiana@gmail.com,+6284055982946,1999,itel,Health & Fitness,Astana Anyar
49,15:32,17:49,Saepuloh Syahdan,Saepuloh@yahoo.com,+6287198999716,1965,Motorola,Travel,Batununggal
50,02:27,04:44,Rachmawati Yulia,Rachmawati@outlook.com,+6286843385033,1971,Sharp,Social Media,Bandung Wetan
51,06:13,08:23,juanita Dinda,juanita@gmail.com,+6288167445830,1995,itel,Gaming,Buahbatu
52,16:38,18:49,Puji Arya,Puji@outlook.com,+6284631073884,1994,Samsung,Education,Cibeunying Kidul
53,14:16,15:49,Rendi saraswati,Rendi@gmail.com,+6287449533471,1988,TECNO,Cryptocurrency,Andir
54,02:40,06:19,Israqi Dhea,Israqi@gmail.com,+6286863883801,1990,itel,Career Development,Rancasari
55,02:33,03:16,Dani Salma,Dani@yahoo.com,+6288755891960,1999,Advan,Movies & Streaming,Gedebage
56,16:56,20:09,raka Selisa,raka@yahoo.com,+6283287614956,1988,Samsung,News,Sumur Bandung
57,19:21,00:46,Daniel Selisa,Daniel@outlook.com,+6282206061420,1999,Sharp,Music,Buahbatu
58,04:09,06:54,Israqi Zaenal,Israqi@yahoo.com,+6284502044134,1963,itel,Social Media,Andir
59,00:46,04:32,Hilda Adnan,Hilda@outlook.com,+6286535501282,1963,ASUS,News,Batununggal
60,17:09,22:50,sukmala saputra,sukmala@yahoo.com,+6282377136464,1980,itel,Gaming,Bojongloa Kaler
61,15:04,17:29,Nur ari,Nur@hotmail.com,+6286444062631,1981,Apple,Sports,Bojongloa Kidul
62,02:44,06:27,Esya Ranti,Esya@gmail.com,+6286253871748,1981,Infinix,Social Media,Antapani
63,14:38,17:17,saraswati Suherdi,saraswati@gmail.com,+6282559064008,1994,Sony,Health & Fitness,Mandalajati
64,19:20,21:48,Muhammad Denis,Muhammad@hotmail.com,+6282924706900,1979,Xiaomi,Gaming,Cibeunying Kidul
65,14:07,19:17,Rizky Adnan,Rizky@outlook.com,+6287963968605,1969,Infinix,Technology,Cinambo
66,04:20,07:59,Renaya Israqi,Renaya@hotmail.com,+6289859391444,1960,OPPO,Technology,Cidadap
67,14:32,15:08,Neneng Rizal,Neneng@gmail.com,+6284832536280,1966,Lenovo,Fashion,Gedebage
68,07:19,09:37,Dwi Rachmawati,Dwi@hotmail.com,+6288634135370,1970,Advan,Travel,Sukajadi
69,17:47,22:59,andrian ahmad,andrian@yahoo.com,+6281632700958,1963,Sharp,Technology,Coblong
70,19:04,22:44,Renaya ita,Renaya@outlook.com,+6286274000204,1966,TECNO,Health & Fitness,Gedebage
71,03:25,04:07,Dhea Rizky,Dhea@gmail.com,+6287513123693,1978,Nokia,Fashion,Cicendo
72,21:26,01:55,Maulana Riska,Maulana@gmail.com,+6285141589751,1976,Xiaomi,Technology,Babakan Ciparay
73,23:25,04:10,Armelia ayudhia,Armelia@yahoo.com,+6281204164696,1979,Honor,Music,Mandalajati
74,00:48,01:28,Israqi Rizky,Israqi@gmail.com,+6289252943355,1988,Sharp,Food & Beverage,Bandung Wetan
75,03:06,05:47,hasannah ita,hasannah@gmail.com,+6288026377191,1977,ASUS,E-commerce,Bandung Wetan
76,00:29,04:47,Tatie Mita,Tatie@yahoo.com,+6286444745573,1987,Samsung,Finance,Cinambo
77,05:13,07:31,Adnan Putri,Adnan@outlook.com,+6289344387139,1983,OPPO,Movies & Streaming,Cicendo
78,18:14,19:30,Agus Dita,Agus@hotmail.com,+6284972849219,1965,ASUS,Cryptocurrency,Kiaracondong
79,04:18,08:32,Nur Rizky,Nur@gmail.com,+6281509179301,1968,Xiaomi,Sports,Bandung Kidul
80,17:17,19:57,wendyna Muni,wendyna@gmail.com,+6285406679010,1967,Apple,E-commerce,Kiaracondong
81,23:57,03:39,rani sinta,rani@gmail.com,+6282597193720,1972,Honor,Beauty,Cibeunying Kaler
82,07:20,12:06,Ranti Brama,Ranti@yahoo.com,+6289476530667,1984,OPPO,Movies & Streaming,Sukajadi
83,02:00,03:47,Rendi dinda,Rendi@hotmail.com,+6282191141024,1965,itel,Finance,Lengkong
84,11:22,16:38,Erwin Esya,Erwin@outlook.com,+6284155696627,1974,Sony,Travel,Arcamanik
85,06:40,08:10,hasannah lusiana,hasannah@yahoo.com,+6281914412021,2000,Lenovo,Technology,Lengkong
86,08:06,09:56,Selisa irfan,Selisa@outlook.com,+6289680181162,2001,Google Pixel,Home Living,Cicendo
87,05:54,10:14,Bayu Nur,Bayu@gmail.com,+6282005351641,1980,Motorola,Gaming,Cidadap
88,17:22,19:05,Armelia Erwin,Armelia@outlook.com,+6287489448890,1992,Honor,Gaming,Antapani
89,22:55,23:15,Diny Bayu,Diny@hotmail.com,+6286305192400,2001,Sharp,Automotive,Batununggal
90,20:17,22:50,lestari Renaya,lestari@outlook.com,+6287475620452,1988,Motorola,Travel,Babakan Ciparay
91,19:08,22:40,Puji Neneng,Puji@outlook.com,+6282468636753,1977,Sony,Social Media,Bojongloa Kaler
92,19:57,00:40,Anisa Syahdan,Anisa@outlook.com,+6281334634389,1980,Google Pixel,Technology,Andir
93,09:19,10:39,Putri Riska,Putri@gmail.com,+6284195788026,2002,Sharp,Travel,Cibeunying Kaler
94,08:47,10:16,ayudhia winda,ayudhia@gmail.com,+6284839731419,1991,realme,Gaming,Cidadap
95,21:38,00:00,sukmala Salma,sukmala@gmail.com,+6289275136230,1981,Google Pixel,Travel,Coblong
96,09:46,10:09,Anisa Adnan,Anisa@gmail.com,+6283858630536,1999,Nokia,Home Living,Sumur Bandung
97,00:28,04:01,Dhea juanita,Dhea@hotmail.com,+6289497211980,1995,Huawei,Home Living,Cibeunying Kaler
98,02:59,07:48,Hilmy zella,Hilmy@outlook.com,+6286826159250,1989,Samsung,Technology,Arcamanik
99,08:01,13:21,Syahdan Meisa,Syahdan@outlook.com,+6288258543489,1962,Xiaomi,Social Media,Cidadap
100,13:29,15:09,Sri wendyna,Sri@outlook.com,+6283821974235,1972,ASUS,Beauty,Rancasari
101,17:20,22:56,Neneng Evi,Neneng@yahoo.com,+6285976506379,1961,Honor,Social Media,Arcamanik
102,22:42,01:01,Sri Syahdan,Sri@hotmail.com,+6288464917267,1969,Xiaomi,News,Astana Anyar
103,15:32,18:18,Rizal Rachmawati,Rizal@gmail.com,+6281310875973,1988,Lenovo,Home Living,Babakan Ciparay
104,18:26,21:00,andrian Ichsan,andrian@outlook.com,+6281976247893,1967,ASUS,Cryptocurrency,Bojongloa Kaler
105,08:14,13:42,yogie ita,yogie@hotmail.com,+6286773318874,1984,ASUS,Cryptocurrency,Panyileukan
106,00:37,03:27,Muni ita,Muni@hotmail.com,+6284841452647,1973,realme,Health & Fitness,Bandung Kidul
107,22:51,23:06,sinta Feggy,sinta@yahoo.com,+6282448631733,1962,Sharp,Technology,Cicendo
108,18:39,21:00,Meisa Rizal,Meisa@outlook.com,+6283300258155,1967,Motorola,Movies & Streaming,Sukajadi
109,15:37,19:51,Iman Dwi,Iman@hotmail.com,+6286107165036,1997,TECNO,Career Development,Cinambo
110,08:31,09:42,Ahmad Rizky,Ahmad@yahoo.com,+6289430541292,1963,Sony,Food & Beverage,Gedebage
111,21:12,01:51,Selisa Bella,Selisa@gmail.com,+6284364020201,1984,OPPO,E-commerce,Sukasari
112,20:31,22:41,Diny Citra,Diny@gmail.com,+6285874972385,2002,Motorola,Travel,Cibeunying Kaler
113,00:54,01:04,Revina sinta,Revina@hotmail.com,+6283126613272,1984,ZTE,Parenting,Cidadap
114,05:12,08:43,Adi saputra,Adi@hotmail.com,+6282426073506,1982,Sony,Social Media,Regol
115,00:22,01:03,anggi Salma,anggi@gmail.com,+6283528187326,1965,vivo,E-commerce,Bandung Kulon
116,15:51,17:26,hasannah Agnes,hasannah@gmail.com,+6289299305068,1995,Samsung,Fashion,Cibeunying Kaler
117,05:53,06:39,Siti Wahyu,Siti@yahoo.com,+6288470073416,1978,TECNO,Technology,Sumur Bandung
118,11:51,15:09,Ajeng Armelia,Ajeng@gmail.com,+6284980966574,1981,Sharp,Home Living,Bojongloa Kaler
119,03:41,06:29,juanita saraswati,juanita@gmail.com,+6284681099972,1974,itel,Social Media,Ujungberung
120,16:34,20:04,Riska Mariam,Riska@yahoo.com,+6285309349356,1986,Advan,Movies & Streaming,Bandung Kidul
121,21:48,02:09,delsa furqon,delsa@yahoo.com,+6289458916890,1985,Sony,Health & Fitness,Cinambo
122,21:57,23:10,Hazana Rivani,Hazana@gmail.com,+6288283811737,1986,ASUS,Fashion,Sumur Bandung
123,22:23,01:34,Syahdan sinta,Syahdan@hotmail.com,+6289973347013,1999,Google Pixel,Music,Babakan Ciparay
124,19:45,20:24,dinda Ranti,dinda@gmail.com,+6283871277464,1987,Google Pixel,Finance,Cinambo
125,21:06,01:20,Denis wendyna,Denis@hotmail.com,+6282494656999,1975,Xiaomi,Automotive,Cidadap
126,20:38,22:13,Erwin Dita,Erwin@gmail.com,+6285456233687,1983,OPPO,Music,Cinambo
127,20:25,01:00,Brama Khansa,Brama@gmail.com,+6283796245790,1978,Nokia,E-commerce,Arcamanik
128,10:19,11:38,Nurfa Adnan,Nurfa@outlook.com,+6288627485929,1961,Google Pixel,Fashion,Ujungberung
129,03:47,08:59,Diny furqon,Diny@hotmail.com,+6282481712552,1983,TECNO,Cryptocurrency,Batununggal
130,12:32,17:00,Armelia anggi,Armelia@yahoo.com,+6284182699710,1963,Google Pixel,Parenting,Cibiru
131,12:44,17:15,Diny Deri,Diny@outlook.com,+6289667013173,1989,Infinix,Automotive,Cibiru
132,15:26,19:15,Anjani delsa,Anjani@hotmail.com,+6289519501132,1968,Samsung,Finance,Cinambo
133,16:53,19:32,Adi Yolanda,Adi@yahoo.com,+6287331026547,1963,ASUS,Finance,Buahbatu
134,01:08,06:29,andriyani Denis,andriyani@gmail.com,+6286805386520,1968,Sony,Music,Cicendo
135,10:38,12:13,Evi Gracia,Evi@hotmail.com,+6282818975348,1960,OPPO,Travel,Kiaracondong
136,11:05,15:17,ita Rendi,ita@gmail.com,+6286399873057,1964,TECNO,Fashion,Sumur Bandung
137,21:41,02:13,Jayanti Citra,Jayanti@hotmail.com,+6285122254542,1965,Apple,Fashion,Ujungberung
138,23:30,00:10,Sri Regina,Sri@hotmail.com,+6289774883837,1962,ASUS,Finance,Buahbatu
139,05:00,06:18,Dinda Bagus,Dinda@hotmail.com,+6284227548946,2000,realme,Beauty,Andir
140,01:18,02:00,Regina Suherdi,Regina@hotmail.com,+6287190631958,1988,Motorola,Fashion,Buahbatu
141,15:19,20:42,Dita Ichsan,Dita@gmail.com,+6281878564372,1960,Advan,Fashion,Rancasari
142,17:16,21:30,Lassandra Khansa,Lassandra@hotmail.com,+6282827725057,1995,realme,Technology,Bojongloa Kidul
143,16:31,20:15,Khansa Kania,Khansa@hotmail.com,+6287304378096,1968,vivo,Social Media,Bandung Kulon
144,09:24,14:49,Armelia Muhammad,Armelia@outlook.com,+6281859288141,1974,Samsung,Automotive,Babakan Ciparay
145,02:15,03:35,Suherdi Gina,Suherdi@yahoo.com,+6288254343006,1963,ZTE,Beauty,Ujungberung
146,05:20,10:01,Saepuloh Dani,Saepuloh@hotmail.com,+6282470843380,1983,ASUS,Health & Fitness,Sumur Bandung
147,09:29,10:02,Agnes arif,Agnes@gmail.com,+6285687823017,1992,Nokia,Travel,Bandung Kidul
148,06:37,08:48,lusiana Nurfa,lusiana@outlook.com,+6284462315764,1999,ASUS,Career Development,Coblong
149,15:21,18:52,Erwin Ghita,Erwin@gmail.com,+6284647794763,1980,Sharp,Sports,Bojongloa Kidul
150,17:50,20:07,Dita rani,Dita@yahoo.com,+6283677470084,1961,Samsung,Automotive,Mandalajati
151,01:35,02:18,Hilmy ari,Hilmy@outlook.com,+6285078609929,1981,Advan,Gaming,Cinambo
152,19:04,23:37,ita Dhea,ita@hotmail.com,+6288699041002,1998,Nokia,Automotive,Sukajadi
153,19:23,00:52,Rizky Rosyanda,Rizky@outlook.com,+6283844027608,1998,Advan,Automotive,Ujungberung
154,21:19,23:50,Ridwan Dwi,Ridwan@yahoo.com,+6288750000469,1996,Nokia,Automotive,Bandung Wetan
155,05:14,06:29,afgani lusiana,afgani@gmail.com,+6287089240694,1967,Nokia,Travel,Bojongloa Kaler
156,23:36,00:22,Aulia santoso,Aulia@gmail.com,+6287066787851,1980,Advan,E-commerce,Arcamanik
157,08:41,10:04,Ana nita,Ana@gmail.com,+6288245384111,1993,Motorola,Music,Lengkong
158,12:36,13:05,lestari Widi,lestari@outlook.com,+6283051605449,1973,OPPO,Beauty,Cibeunying Kidul
159,17:57,20:27,Rizky Nurfa,Rizky@hotmail.com,+6289478469176,1967,Infinix,Social Media,Kiaracondong
160,14:31,18:01,Arya Agus,Arya@hotmail.com,+6284757138976,2001,itel,Fashion,Cinambo
161,16:58,19:13,Ana afgani,Ana@gmail.com,+6286377090479,1973,Xiaomi,Beauty,Cibeunying Kidul
162,07:50,12:26,Lassandra zella,Lassandra@hotmail.com,+6282044696658,1994,Advan,Education,Astana Anyar
163,03:09,08:56,Ristya Yogi,Ristya@gmail.com,+6288599710295,1979,Motorola,Automotive,Bandung Kulon
164,15:28,17:57,Ristya sukmala,Ristya@hotmail.com,+6282275924493,1976,itel,Food & Beverage,Panyileukan
165,16:17,17:52,hanna Rizky,hanna@yahoo.com,+6283756894711,1968,vivo,Sports,Ujungberung
166,06:50,07:06,Bagus dinda,Bagus@outlook.com,+6285599795599,1985,Xiaomi,Automotive,Lengkong
167,15:48,17:38,Novianti Nur,Novianti@outlook.com,+6286929348235,1964,vivo,Fashion,Mandalajati
168,06:57,11:45,windi indah,windi@yahoo.com,+6284741687794,1990,Honor,Career Development,Mandalajati
169,02:11,06:47,ahmad saraswati,ahmad@gmail.com,+6288831191050,1978,TECNO,Beauty,Ujungberung
170,11:49,15:01,Rida Israqi,Rida@gmail.com,+6286649346194,2001,OPPO,Music,Bandung Kulon
171,22:58,01:37,raka Revina,raka@hotmail.com,+6287999729185,1995,Samsung,Automotive,Antapani
172,03:43,04:10,Yolanda Ridwan,Yolanda@gmail.com,+6282811725868,2001,Honor,Career Development,Batununggal
173,19:57,00:33,Suherdi delsa,Suherdi@hotmail.com,+6284328934814,1997,Sony,Automotive,Arcamanik
174,16:34,21:57,alamda arief,alamda@yahoo.com,+6282003931994,1982,Sharp,E-commerce,Cicendo
175,22:08,23:44,risma Kirana,risma@gmail.com,+6284316710131,1980,ZTE,Travel,Cidadap
176,16:30,21:57,ita furqon,ita@yahoo.com,+6286797485257,1979,ASUS,Health & Fitness,Batununggal
177,04:32,07:14,hanna Rivani,hanna@outlook.com,+6285156445804,1973,itel,Career Development,Cibeunying Kidul
178,09:15,13:37,Ajeng Siti,Ajeng@outlook.com,+6288901636692,1993,vivo,Finance,Bandung Kidul
179,06:44,07:24,Deri Pina,Deri@yahoo.com,+6288525949227,1995,Motorola,Travel,Batununggal
180,02:02,03:32,sinta suci,sinta@yahoo.com,+6282104933293,1993,itel,Fashion,Cibeunying Kidul
181,06:10,08:55,Rizky Susanti,Rizky@gmail.com,+6287139269662,1972,Huawei,Home Living,Batununggal
182,20:45,00:58,Deri Feggy,Deri@gmail.com,+6289464327438,1970,realme,Beauty,Batununggal
183,23:50,02:25,Ahmad Hilmy,Ahmad@outlook.com,+6284657730495,1967,Xiaomi,Education,Astana Anyar
184,11:18,16:30,Meisa Rizal,Meisa@yahoo.com,+6283815680235,1961,Apple,Beauty,Coblong
185,16:00,20:39,Nadya Ahmad,Nadya@yahoo.com,+6289803835710,2002,Lenovo,Social Media,Bojongloa Kaler
186,00:09,02:45,arif Citra,arif@hotmail.com,+6282592869576,1976,Huawei,Health & Fitness,Astana Anyar
187,03:30,07:10,irfan Meisa,irfan@yahoo.com,+6283971744565,1972,Lenovo,Food & Beverage,Antapani
188,07:03,11:32,Rizal Renaya,Rizal@outlook.com,+6282483249622,1973,vivo,Finance,Bojongloa Kaler
189,04:45,09:32,Suherdi ristami,Suherdi@outlook.com,+6282101237388,1986,Google Pixel,Gaming,Cibeunying Kidul
190,17:17,20:54,lusiana afgani,lusiana@yahoo.com,+6289426307079,1986,Motorola,Cryptocurrency,Cibiru
191,11:18,15:56,Nur Kania,Nur@gmail.com,+6288278849235,1983,Infinix,Health & Fitness,Cidadap
192,16:46,18:18,ahmad ita,ahmad@hotmail.com,+6283540373816,1993,Apple,Gaming,Bandung Wetan
193,15:37,16:50,zella Agus,zella@gmail.com,+6283308817513,1974,Motorola,Sports,Arcamanik
194,13:36,18:19,Agus delsa,Agus@outlook.com,+6284937560209,1967,Sharp,Cryptocurrency,Panyileukan
195,11:29,15:18,Dicky sinta,Dicky@outlook.com,+6289204450751,1994,Huawei,Career Development,Andir
196,08:23,10:44,Kania yolanda,Kania@gmail.com,+6282053909787,1998,TECNO,E-commerce,Rancasari
197,02:30,06:12,Bagus Agus,Bagus@hotmail.com,+6289596600211,1981,OPPO,Food & Beverage,Coblong
198,23:00,04:24,lestari Wahyu,lestari@hotmail.com,+6287605774479,2001,Infinix,Home Living,Sumur Bandung
199,06:19,09:34,Lulu Pina,Lulu@gmail.com,+6283627545142,2002,Apple,Gaming,Coblong
200,14:08,19:27,Neneng Susanti,Neneng@gmail.com,+6289330364713,1961,Advan,Career Development,Batununggal
201,17:30,18:19,dinda Raka,dinda@gmail.com,+6284914509565,1974,ZTE,Health & Fitness,Andir
202,09:00,10:48,lusiana lestari,lusiana@yahoo.com,+6281174504825,1961,OPPO,Technology,Bojongloa Kidul
203,03:22,05:53,Raka Saepuloh,Raka@outlook.com,+6286472187199,1982,Sharp,Travel,Cibeunying Kidul
204,22:22,00:56,Sri Ahmad,Sri@outlook.com,+6285404180523,1985,Honor,Health & Fitness,Cinambo
205,15:18,17:45,Widi Ferdinand,Widi@outlook.com,+6288392414226,2002,Google Pixel,Travel,Sumur Bandung
206,06:05,10:24,Bayu hanna,Bayu@outlook.com,+6283000400701,1972,OPPO,Education,Cidadap
207,07:38,10:19,Feggy Rizky,Feggy@gmail.com,+6282267788506,1983,Xiaomi,Automotive,Kiaracondong
208,23:10,04:46,Bayu Salma,Bayu@yahoo.com,+6282429819445,1983,Google Pixel,Music,Babakan Ciparay
209,14:46,18:18,Ridwan Khansa,Ridwan@yahoo.com,+6288288056208,1962,Sony,Beauty,Andir
210,09:38,10:24,andrian Kurnia,andrian@hotmail.com,+6282386936812,1976,Google Pixel,E-commerce,Sukasari
211,18:33,22:08,Anjani Peter,Anjani@gmail.com,+6289210265466,1966,Motorola,Cryptocurrency,Babakan Ciparay
212,05:14,10:49,Ninne Hanasira,Ninne@hotmail.com,+6282930502140,1963,Motorola,Education,Babakan Ciparay
213,18:20,22:05,ayudhia Ahmad,ayudhia@outlook.com,+6289936283034,1974,ASUS,Social Media,Andir
214,12:58,17:27,santoso Lulu,santoso@gmail.com,+6289589854161,1993,Xiaomi,Finance,Bojongloa Kaler
215,05:01,06:17,Rizal raka,Rizal@hotmail.com,+6284899173558,1974,Apple,Music,Bojongloa Kaler
216,04:40,05:19,Tatie Widi,Tatie@yahoo.com,+6282190084860,1986,Google Pixel,Beauty,Rancasari
217,18:26,21:15,Aulia Ahmad,Aulia@outlook.com,+6287342879331,1975,Apple,Movies & Streaming,Astana Anyar
218,11:51,13:33,Renaya Ninne,Renaya@hotmail.com,+6285684403225,1992,Samsung,Cryptocurrency,Babakan Ciparay
219,20:02,00:50,Deri raka,Deri@gmail.com,+6289343373795,1972,Xiaomi,Travel,Cibeunying Kaler
220,17:42,21:32,Lassandra Ichsan,Lassandra@yahoo.com,+6289801436608,1987,itel,Social Media,Babakan Ciparay
221,23:52,00:35,Ichsan yolanda,Ichsan@gmail.com,+6287878756330,1986,TECNO,Social Media,Cibeunying Kaler
222,04:05,06:25,Rachmawati Ridwan,Rachmawati@gmail.com,+6287559691267,1991,Google Pixel,Career Development,Babakan Ciparay
223,06:47,10:25,Ridwan Lucky,Ridwan@hotmail.com,+6284349054701,2000,Honor,Parenting,Bandung Wetan
224,00:41,02:21,Putri Khansa,Putri@outlook.com,+6286584752168,1971,Google Pixel,Technology,Astana Anyar
225,20:26,22:04,furqon winda,furqon@yahoo.com,+6284038736272,2002,TECNO,Health & Fitness,Batununggal
226,14:26,16:57,Dicky Ferdinand,Dicky@hotmail.com,+6284973629882,2000,Lenovo,Beauty,Kiaracondong
227,21:58,00:15,irfan Riska,irfan@outlook.com,+6289969979776,1968,Sony,Health & Fitness,Batununggal
228,16:10,18:46,Daniel Adi,Daniel@hotmail.com,+6283749220725,1961,Sharp,Music,Sumur Bandung
229,06:12,11:42,Ana Armelia,Ana@outlook.com,+6281563626216,1964,Xiaomi,Career Development,Regol
230,03:25,06:46,Diny Adnan,Diny@yahoo.com,+6289021592648,2000,Honor,Technology,Lengkong
231,19:15,20:55,Sri Gina,Sri@yahoo.com,+6282616923067,1982,ZTE,Health & Fitness,Rancasari
232,06:54,10:27,Ferdinand Nur,Ferdinand@outlook.com,+6284824906882,1976,Samsung,Music,Babakan Ciparay
233,06:42,07:08,Armelia hanna,Armelia@outlook.com,+6285091410926,1998,itel,Sports,Sumur Bandung
234,23:00,01:15,delsa Rosyanda,delsa@yahoo.com,+6287272610143,1968,OPPO,E-commerce,Ujungberung
235,18:16,21:57,Susanti arief,Susanti@outlook.com,+6283261726694,1989,Honor,Gaming,Lengkong
236,03:10,07:39,Denis Maulana,Denis@gmail.com,+6282200796168,1977,Google Pixel,News,Bojongloa Kidul
237,14:08,15:39,Deri Rosyanda,Deri@hotmail.com,+6281291679449,1990,OPPO,Automotive,Buahbatu
238,18:32,20:16,lestari Puji,lestari@outlook.com,+6289237420000,1991,Google Pixel,Movies & Streaming,Antapani
239,14:23,19:35,winda Annisa,winda@gmail.com,+6284806961923,1992,Lenovo,Cryptocurrency,Bandung Kidul
240,10:19,11:45,Susanti Zaenal,Susanti@yahoo.com,+6288287359460,1993,ZTE,Home Living,Gedebage
241,04:42,05:03,Feggy ita,Feggy@yahoo.com,+6289233451098,1999,Apple,Gaming,Regol
242,09:29,13:41,Neneng Kania,Neneng@hotmail.com,+6281402743426,1975,Samsung,Technology,Bandung Kulon
243,22:48,00:19,Rizky Yulia,Rizky@gmail.com,+6283963116861,1962,ASUS,Social Media,Kiaracondong
